o_city_id,d_city_id,flow_pop
110000,450300,7
110000,450400,5
110000,450500,10
110000,450600,9
110000,450700,8
110000,450800,8
110000,450900,5
110000,451000,6
110000,451100,5
110000,451200,10
110000,451300,9
110000,451400,8
110000,460100,12
110000,460200,17
110000,460300,5
110000,460400,6
110000,469001,8
110000,469002,10
110000,469005,7
110000,469006,7
110000,469007,6
110000,469021,9
110000,469022,9
110000,469023,7
110000,469024,10
110000,469025,9
110000,469026,10
110000,469027,9
110000,469028,9
110000,469029,7
110000,469030,9
110000,500000,64
110000,510100,65
110000,510300,9
110000,510400,8
110000,510500,7
110000,510600,10
110000,510700,10
110000,510800,12
110000,510900,8
110000,511000,6
110000,511100,5
110000,511300,15
110000,511400,7
110000,511500,5
110000,511600,9
110000,511700,13
110000,511800,6
110000,511900,19
110000,512000,9
110000,513200,9
110000,513300,10
110000,513400,7
110000,520100,15
110000,520200,10
110000,520300,6
110000,520400,9
110000,520500,8
110000,520600,7
110000,522300,9
110000,522600,8
110000,522700,9
110000,530100,20
110000,530300,10
110000,530400,7
110000,530500,7
110000,530600,9
110000,530700,6
110000,530800,8
110000,530900,10
110000,532300,7
110000,532500,7
110000,532600,9
110000,532800,7
110000,532900,8
110000,533100,10
110000,533300,8
110000,533400,7
110000,540100,30
110000,540200,5
110000,540300,9
110000,540400,7
110000,540500,5
110000,540600,7
110000,542500,6
110000,610100,154
110000,610200,8
110000,610300,10
110000,610400,18
110000,610500,31
110000,610600,15
110000,610700,8
110000,610800,46
110000,610900,7
110000,611000,8
110000,620100,21
110000,620200,10
110000,620300,7
110000,620400,8
110000,620500,9
110000,620600,9
110000,620700,9
110000,620800,6
110000,620900,5
110000,621000,18
110000,621100,8
110000,621200,7
110000,622900,9
110000,623000,8
110000,630100,13
110000,630200,10
110000,632200,9
110000,632300,5
110000,632500,5
110000,632600,5
110000,632700,10
110000,632800,5
110000,640100,35
110000,640200,5
110000,640300,8
110000,640400,10
110000,640500,8
110000,650100,31
110000,650200,9
110000,650400,8
110000,650500,7
110000,652300,7
110000,652700,5
110000,652800,6
110000,652900,9
110000,653000,7
110000,653100,6
110000,653200,10
110000,654000,5
110000,654200,7
110000,654300,7
110000,659001,9
110000,659002,8
110000,659003,5
110000,659004,8
110000,659005,5
110000,659006,5
110000,659007,5
110000,659008,8
110000,659009,10
120000,110000,15940
120000,130100,992
120000,130200,10509
120000,130300,2277
120000,130400,568
120000,130500,398
120000,130600,2968
120000,130700,588
120000,130800,987
120000,130900,8639
120000,131000,13036
120000,131100,836
120000,140100,134
120000,140200,139
120000,140300,37
120000,140400,37
120000,140500,12
120000,140600,39
120000,140700,75
120000,140800,31
120000,140900,278
120000,141000,35
120000,141100,28
120000,150100,93
120000,150200,47
120000,150300,5
120000,150400,234
120000,150500,59
120000,150600,50
120000,150700,21
120000,150800,12
120000,150900,58
120000,152200,16
120000,152500,39
120000,152900,5
120000,210100,494
120000,210200,137
120000,210300,98
120000,210400,37
120000,210500,23
120000,210600,40
120000,210700,181
120000,210800,87
120000,210900,49
120000,211000,41
120000,211100,123
120000,211200,36
120000,211300,100
120000,211400,666
120000,220100,168
120000,220200,46
120000,220300,46
120000,220400,16
120000,220500,38
120000,220600,15
120000,220700,28
120000,220800,16
120000,222400,19
120000,230100,160
120000,230200,40
120000,230300,9
120000,230400,9
120000,230500,6
120000,230600,35
120000,230700,5
120000,230800,15
120000,230900,5
120000,231000,19
120000,231100,7
120000,231200,32
120000,232700,9
120000,310000,155
120000,320100,75
120000,320200,55
120000,320300,147
120000,320400,34
120000,320500,87
120000,320600,59
120000,320700,102
120000,320800,42
120000,320900,70
120000,321000,40
120000,321100,15
120000,321200,32
120000,321300,45
120000,330100,70
120000,330200,33
120000,330300,19
120000,330400,29
120000,330500,13
120000,330600,12
120000,330700,22
120000,330800,9
120000,330900,6
120000,331000,17
120000,331100,5
120000,340100,67
120000,340200,22
120000,340300,22
120000,340400,10
120000,340500,9
120000,340600,12
120000,340700,9
120000,340800,28
120000,341000,8
120000,341100,16
120000,341200,74
120000,341300,33
120000,341500,14
120000,341600,36
120000,341700,8
120000,341800,6
120000,350100,15
120000,350200,10
120000,350300,5
120000,350400,5
120000,350500,12
120000,350600,9
120000,350700,5
120000,350800,8
120000,350900,7
120000,360100,25
120000,360200,7
120000,360300,7
120000,360400,10
120000,360500,5
120000,360600,8
120000,360700,7
120000,360800,8
120000,360900,5
120000,361000,5
120000,361100,7
120000,370100,683
120000,370200,436
120000,370300,306
120000,370400,70
120000,370500,445
120000,370600,325
120000,370700,483
120000,370800,215
120000,370900,201
120000,371000,127
120000,371100,80
120000,371300,337
120000,371400,1412
120000,371500,259
120000,371600,1132
120000,371700,212
120000,410100,159
120000,410200,52
120000,410300,35
120000,410400,20
120000,410500,95
120000,410600,26
120000,410700,62
120000,410800,30
120000,410900,138
120000,411000,21
120000,411100,13
120000,411200,8
120000,411300,40
120000,411400,79
120000,411500,29
120000,411600,81
120000,411700,52
120000,419001,10
120000,420100,69
120000,420200,8
120000,420300,7
120000,420500,9
120000,420600,15
120000,420700,7
120000,420800,7
120000,420900,11
120000,421000,11
120000,421100,22
120000,421200,9
120000,421300,7
120000,422800,6
120000,429004,6
120000,429005,8
120000,429006,5
120000,429021,10
120000,430100,35
120000,430200,5
120000,430300,5
120000,430400,8
120000,430500,9
120000,430600,7
120000,430700,6
120000,430800,5
120000,430900,9
120000,431000,6
120000,431100,6
120000,431200,5
120000,431300,9
120000,433100,8
120000,440100,48
120000,440200,7
120000,440300,26
120000,440400,10
120000,440500,5
120000,440600,11
120000,440700,8
120000,440800,6
120000,440900,8
120000,441200,7
120000,441300,5
120000,441400,7
120000,441500,9
120000,441600,8
120000,441700,6
120000,441800,5
120000,441900,17
120000,442000,5
120000,445100,9
120000,445200,7
120000,445300,9
120000,450100,10
120000,450200,6
120000,450300,6
120000,450400,9
120000,450500,7
120000,450600,9
120000,450700,7
120000,450800,9
120000,450900,7
120000,451000,7
120000,451100,8
120000,451200,7
120000,451300,5
120000,451400,5
120000,460100,6
120000,460200,9
120000,460300,7
120000,460400,6
120000,469001,7
120000,469002,5
120000,469005,6
120000,469006,9
120000,469007,7
120000,469021,7
120000,469022,5
120000,469023,6
120000,469024,7
120000,469025,8
120000,469026,9
120000,469027,7
120000,469028,8
120000,469029,5
120000,469030,5
120000,500000,41
120000,510100,43
120000,510300,8
120000,510400,7
120000,510500,10
120000,510600,7
120000,510700,6
120000,510800,8
120000,510900,7
120000,511000,9
120000,511100,8
120000,511300,6
120000,511400,8
120000,511500,8
120000,511600,5
120000,511700,5
120000,511800,9
120000,511900,7
120000,512000,8
120000,513200,5
120000,513300,9
120000,513400,7
120000,520100,12
120000,520200,6
120000,520300,6
120000,520400,10
120000,520500,9
120000,520600,9
120000,522300,5
120000,522600,5
120000,522700,9
120000,530100,13
120000,530300,9
120000,530400,6
120000,530500,7
120000,530600,9
120000,530700,7
120000,530800,7
120000,530900,8
120000,532300,6
120000,532500,10
120000,532600,9
120000,532800,6
120000,532900,9
120000,533100,5
120000,533300,8
120000,533400,7
120000,540100,8
120000,540200,6
120000,540300,9
120000,540400,6
120000,540500,6
120000,540600,6
120000,542500,6
120000,610100,85
120000,610200,10
120000,610300,5
120000,610400,11
120000,610500,15
120000,610600,8
120000,610700,5
120000,610800,29
120000,610900,8
120000,611000,5
120000,620100,13
120000,620200,6
120000,620300,9
120000,620400,6
120000,620500,5
